Question,Option A,Option B,Option C,Option D,Correct Answer
"Which river is known as the ""Ganges"" in India?",Yamuna,Brahmaputra,Godavari,Ganges,D
What is the capital city of India?,Mumbai,Delhi,Kolkata,Chennai,B
In which year did India gain independence from British rule?,1945,1947,1950,1962,B
Which mountain range separates the Indian subcontinent from the Tibetan Plateau?,Himalayas,Aravalli,Western Ghats,Eastern Ghats,A
"Who is known as the ""Father of the Nation"" in India?",Jawaharlal Nehru,Mahatma Gandhi,Sardar Patel,Subhas Chandra Bose,B
"Which Indian festival is known as the ""Festival of Lights""?",Holi,Diwali,Eid al-Fitr,Navratri,B
What is the currency of India?,Rupee,Yen,Peso,Baht,A
"Which state in India is known as the ""Land of Five Rivers""?",Punjab,Rajasthan,Kerala,Gujarat,A
What is the national animal of India?,Elephant,Tiger,Lion,Leopard,B
Who was the first woman Prime Minister of India?,Indira Gandhi,Sonia Gandhi,Mamata Banerjee,Mayawati,A
